ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.517692,6.493073,4.608708,4.591293,15.9913,0.2754294,2.920971,11.59574,,NONE
-1,6.517693,6.493073,4.608708,4.591293,15.9913,0.2754334,2.918243,11.69654,,NONE
-1,6.517693,6.493073,4.608708,4.591293,15.9913,0.2754313,2.915532,11.79658,,NONE
-1,6.517693,6.493072,4.608708,4.591293,15.9913,0.2754312,2.912863,11.89493,,NONE
-1,6.517694,6.493069,4.608708,4.591293,15.9913,0.2754305,2.910094,11.99684,,NONE
-1,6.517694,6.493069,4.608708,4.591293,15.9913,0.2754346,2.907407,12.09566,,NONE
-1,6.517694,6.493068,4.608708,4.591293,15.9913,0.2754301,2.904675,12.19599,,NONE
-1,6.517701,6.493068,4.608708,4.591293,15.9913,0.2754335,2.901938,12.2964,,NONE
-1,6.517701,6.493068,4.608708,4.591293,15.9913,0.2754311,2.899234,12.3956,,NONE
-1,6.517701,6.493067,4.608708,4.591293,15.9913,0.2754316,2.896526,12.49476,,NONE
-1,6.517702,6.493067,4.608708,4.591293,15.9913,0.2754316,2.89377,12.59561,,RIGHT_ACCELERATE
-1,6.517703,6.493066,4.608708,4.591293,15.9913,0.2754321,2.891008,12.6966,,NONE
-1,6.517703,6.493063,4.608708,4.591293,15.9913,0.2754313,2.888306,12.7953,,NONE
-1,6.517704,6.493062,4.608708,4.591293,15.9913,0.2754329,2.885565,12.8953,,NONE
-1,6.517703,6.493062,4.608708,4.591293,15.9913,0.2754327,2.882803,12.99599,,NONE
-1,6.517704,6.493062,4.608708,4.591293,15.9913,0.275431,2.880083,13.09514,,NONE
-1,6.5177,6.493062,4.608707,4.591294,15.9913,0.2754305,2.877336,13.19519,,NONE
-1,6.517704,6.493061,4.608708,4.591293,15.9913,0.2754309,2.874582,13.29543,,NONE
-1,6.517704,6.493061,4.608708,4.591293,15.9913,0.275428,2.871806,13.39637,,NONE
-1,6.517705,6.493061,4.608708,4.591293,15.9913,0.2754334,2.869097,13.49474,,NONE
-1,6.517707,6.493061,4.608707,4.591294,15.9913,0.2754315,2.866334,13.59507,,NONE
-1,6.517707,6.493058,4.608707,4.591294,15.9913,0.2754307,2.863574,13.69524,,NONE
-1,6.517706,6.493056,4.608708,4.591293,15.9913,0.2754321,2.860799,13.79591,,NONE
-1,6.517706,6.493056,4.608708,4.591293,15.9913,0.2754332,2.858056,13.89531,,NONE
-1,6.517706,6.493055,4.608708,4.591293,15.9913,0.2754326,2.855264,13.99649,,NONE
-1,6.517708,6.493056,4.608708,4.591293,15.9913,0.2754325,2.852535,14.09531,,NONE
-1,6.517708,6.493055,4.608708,4.591293,15.9913,0.2754335,2.849766,14.19552,,NONE
-1,6.517714,6.493054,4.608708,4.591293,15.9913,0.2754321,2.847014,14.29504,,NONE
-1,6.517715,6.493055,4.608708,4.591293,15.9913,0.2754296,2.844214,14.39631,,NONE
-1,6.517715,6.493054,4.608708,4.591293,15.9913,0.2754307,2.841454,14.49601,,NONE
-1,6.51771,6.493055,4.608707,4.591294,15.9913,0.2754327,2.83871,14.59509,,NONE
-1,6.517715,6.493051,4.608708,4.591293,15.9913,0.2754347,2.835945,14.69491,,NONE
-1,6.517715,6.49305,4.608708,4.591293,15.9913,0.2754331,2.833132,14.79645,,NONE
-1,6.517717,6.493051,4.608708,4.591293,15.9913,0.2754311,2.830396,14.89512,,NONE
-1,6.517717,6.493049,4.608708,4.591293,15.9913,0.275431,2.827584,14.99654,,NONE
-1,6.517717,6.493049,4.608708,4.591293,15.9913,0.2754321,2.824806,15.09668,,NONE
-1,6.517717,6.493049,4.608708,4.591293,15.9913,0.2754283,2.82206,15.19562,,NONE
-1,6.517717,6.493049,4.608708,4.591293,15.9913,0.2754307,2.819263,15.2963,,NONE
-1,6.517717,6.493048,4.608708,4.591293,15.9913,0.2754319,2.8165,15.39578,,NONE
-1,6.517717,6.493047,4.608708,4.591293,15.9913,0.2754309,2.813706,15.49632,,NONE
-1,6.517719,6.493047,4.608708,4.591293,15.9913,0.2754319,2.810952,15.59538,,NONE
-1,6.517719,6.493044,4.608708,4.591293,15.9913,0.2754294,2.80816,15.69581,,NONE
-1,6.517719,6.493043,4.608708,4.591293,15.9913,0.2754326,2.805375,15.79593,,NONE
-1,6.517719,6.493043,4.608708,4.591293,15.9913,0.2754268,2.802607,15.89538,,NONE
-1,6.517725,6.493043,4.608708,4.591293,15.9913,0.2754185,2.79981,15.99589,,NONE
-1,6.517726,6.493043,4.608708,4.591293,15.9913,0.2754171,2.797008,16.09655,,NONE
-1,6.517727,6.493042,4.608708,4.591293,15.9913,0.2754326,2.794256,16.19527,,NONE
-1,6.517726,6.493042,4.608708,4.591293,15.9913,0.275432,2.791461,16.2956,,NONE
-1,6.517727,6.493038,4.608708,4.591293,15.9913,0.2754333,2.788648,16.39657,,NONE
-1,6.517727,6.493039,4.608708,4.591293,15.9913,0.2754315,2.785875,16.49609,,LEFT_ACCELERATE
-1,6.517728,6.493038,4.608708,4.591293,15.9913,0.2754201,2.783076,16.59655,,LEFT_ACCELERATE
-1,6.517728,6.493038,4.608708,4.591293,15.9913,0.2754205,2.780289,16.69648,,LEFT_ACCELERATE
-1,6.517728,6.493038,4.608708,4.591293,15.9913,0.275425,2.777546,16.79482,,LEFT_ACCELERATE
-1,6.517728,6.493037,4.608708,4.591293,15.9913,0.2754316,2.774756,16.89483,,RIGHT_ACCELERATE
-1,6.517728,6.493036,4.608708,4.591293,15.9913,0.275431,2.771919,16.99652,,RIGHT_ACCELERATE
-1,6.51773,6.493037,4.608708,4.591293,15.9913,0.2754314,2.769122,17.09675,,RIGHT_ACCELERATE
-1,6.517729,6.493036,4.608708,4.591293,15.9913,0.2754175,2.766381,17.195,,LEFT_ACCELERATE
-1,6.517729,6.493035,4.608708,4.591293,15.9913,0.2754302,2.763554,17.29617,,LEFT_ACCELERATE
-1,6.517731,6.493035,4.608708,4.591293,15.9913,0.2754166,2.760752,17.39661,,LEFT_ACCELERATE
-1,6.517731,6.493032,4.608708,4.591293,15.9913,0.2754258,2.757986,17.49562,,NONE
-1,6.51773,6.493032,4.608708,4.591293,15.9913,0.2754124,2.755169,17.59651,,NONE
-1,6.517736,6.49303,4.608709,4.591292,15.9913,0.2754151,2.752423,17.6948,,NONE
-1,6.517733,6.493031,4.608708,4.591293,15.9913,0.2754374,2.749592,17.79604,,NONE
-1,6.517733,6.493032,4.608708,4.591293,15.9913,0.2754245,2.746808,17.89574,,NONE
-1,6.517738,6.493031,4.608708,4.591293,15.9913,0.2754326,2.743966,17.99731,,LEFT_ACCELERATE
-1,6.51774,6.49303,4.608708,4.591293,15.9913,0.2754312,2.741199,18.09629,,LEFT_ACCELERATE
-1,6.517736,6.493028,4.608709,4.591292,15.9913,0.2754291,2.73842,18.19571,,LEFT_ACCELERATE
-1,6.51774,6.493027,4.608708,4.591293,15.9913,0.2754324,2.735641,18.29507,,LEFT_ACCELERATE
-1,6.51774,6.493025,4.608708,4.591293,15.9913,0.2754312,2.732835,18.39539,,LEFT_ACCELERATE
-1,6.51774,6.493025,4.608708,4.591293,15.9913,0.275433,2.730031,18.49566,,LEFT_ACCELERATE
-1,6.517741,6.493025,4.608708,4.591293,15.9913,0.275424,2.72722,18.59624,,NONE
-1,6.51774,6.493024,4.608708,4.591293,15.9913,0.275434,2.72445,18.6951,,NONE
-1,6.517742,6.493024,4.608708,4.591293,15.9913,0.2754328,2.72163,18.79588,,NONE
-1,6.517739,6.493027,4.608706,4.591295,15.99131,0.2754279,2.718821,18.89629,,NONE
-1,6.517742,6.493024,4.608708,4.591293,15.99131,0.2754287,2.716038,18.99572,,NONE
-1,6.517742,6.493023,4.608708,4.591293,15.99131,0.2754307,2.713217,19.09643,,NONE
-1,6.517744,6.493022,4.608707,4.591294,15.9913,0.2754323,2.710428,19.19603,,NONE
-1,6.517745,6.493021,4.608707,4.591294,15.99131,0.2754226,2.707638,19.2957,,LEFT_BRAKE
-1,6.517715,6.493051,4.608686,4.591315,15.99133,0.275427,2.70485,19.39526,,LEFT_BRAKE
-1,6.517715,6.49305,4.608686,4.591315,15.99133,0.2754325,2.702024,19.49619,,NONE
-1,6.517715,6.49305,4.608686,4.591315,15.99133,0.2754298,2.699255,19.59503,,LEFT_BRAKE
-1,6.517715,6.493048,4.608687,4.591314,15.99133,0.2754301,2.696447,19.69531,,LEFT_BRAKE
-1,6.517694,6.493069,4.608672,4.591329,15.99134,0.2754293,2.693592,19.79721,,RIGHT_BRAKE
-1,6.517633,6.493137,4.608624,4.591377,15.99139,0.2754186,2.690824,19.89614,,RIGHT_BRAKE
-1,6.517571,6.493199,4.608581,4.591421,15.99143,0.2754301,2.688006,19.99668,,RIGHT_BRAKE
-1,6.517533,6.493235,4.608554,4.591447,15.99146,0.2754335,2.68525,20.09504,,RIGHT_BRAKE
-1,6.517534,6.493232,4.608554,4.591447,15.99146,0.2754222,2.682449,20.1951,,NONE
-1,6.517529,6.493237,4.608553,4.591448,15.99146,0.2754285,2.679624,20.29585,,NONE
-1,6.517532,6.493234,4.608552,4.591449,15.99146,0.2754306,2.676844,20.39505,,NONE
-1,6.517535,6.493231,4.608554,4.591447,15.99146,0.2754304,2.674023,20.49567,,NONE
-1,6.517535,6.493231,4.608554,4.591447,15.99146,0.275431,2.671239,20.59502,,NONE
-1,6.517537,6.493232,4.608553,4.591448,15.99146,0.2754312,2.668394,20.69655,,NONE
-1,6.517537,6.493232,4.608553,4.591448,15.99146,0.2754307,2.665639,20.79481,,NONE
-1,6.517534,6.493232,4.608552,4.591449,15.99146,0.2754312,2.662817,20.89548,,NONE
-1,6.517537,6.493229,4.608554,4.591447,15.99146,0.2754223,2.660004,20.99588,,NONE
-1,6.517537,6.49323,4.608554,4.591447,15.99146,0.2754268,2.657199,21.09586,,NONE
-1,6.517534,6.493231,4.608552,4.591449,15.99146,0.275432,2.65437,21.19668,,NONE
-1,6.517537,6.493226,4.608554,4.591447,15.99146,0.2754334,2.651507,21.29879,,NONE
-1,6.517538,6.493225,4.608554,4.591447,15.99146,0.2754307,2.648735,21.39773,,NONE
-1,6.517538,6.493225,4.608554,4.591447,15.99146,0.2754328,2.645779,21.50319,,NONE
-1,6.517544,6.493225,4.608554,4.591447,15.99146,0.2754316,2.643188,21.59565,,NONE
-1,6.517545,6.493224,4.608554,4.591447,15.99146,0.2754277,2.640386,21.69558,,NONE
-1,6.51754,6.493225,4.608553,4.591448,15.99146,0.2754311,2.637575,21.79582,,NONE
-1,6.517541,6.493225,4.608553,4.591448,15.99146,0.2754306,2.63476,21.89614,,NONE
-1,6.517541,6.493225,4.608553,4.591448,15.99146,0.2754326,2.631982,21.99524,,NONE
-1,6.517543,6.493222,4.608552,4.591449,15.99146,0.2754301,2.629179,22.09522,,NONE
-1,6.517546,6.493219,4.608554,4.591447,15.99146,0.27543,2.626363,22.19563,,NONE
-1,6.517542,6.493221,4.608553,4.591448,15.99146,0.2754307,2.623582,22.29476,,NONE
-1,6.517545,6.493222,4.608552,4.591449,15.99146,0.2754304,2.620771,22.39499,,NONE
-1,6.517543,6.493219,4.608553,4.591448,15.99146,0.2754322,2.617958,22.49529,,NONE
-1,6.517545,6.49322,4.608552,4.591449,15.99146,0.2754319,2.615169,22.59473,,NONE
-1,6.517545,6.49322,4.608552,4.591449,15.99146,0.2754318,2.612342,22.69549,,NONE
-1,6.51755,6.493218,4.608553,4.591448,15.99146,0.2754318,2.609516,22.79622,,NONE
-1,6.51755,6.493218,4.608553,4.591448,15.99146,0.2754298,2.606577,22.90099,,NONE
-1,6.51755,6.493217,4.608554,4.591447,15.99146,0.27543,2.603896,22.99659,,NONE
-1,6.517547,6.493219,4.608552,4.591449,15.99146,0.2754312,2.601109,23.09596,,NONE
-1,6.51755,6.493213,4.608554,4.591447,15.99146,0.27543,2.59834,23.19473,,NONE
-1,6.517552,6.493214,4.608553,4.591448,15.99146,0.2754337,2.595502,23.29586,,NONE
-1,6.51755,6.493213,4.608554,4.591447,15.99146,0.2754309,2.592691,23.39604,,NONE
-1,6.517553,6.493213,4.608553,4.591448,15.99146,0.2754315,2.58991,23.49517,,NONE
-1,6.517557,6.493212,4.608554,4.591447,15.99146,0.2754316,2.587103,23.59516,,NONE
-1,6.517557,6.493211,4.608554,4.591447,15.99146,0.2754315,2.584249,23.69687,,NONE
-1,6.517559,6.493211,4.608554,4.591447,15.99146,0.2754299,2.581501,23.79484,,NONE
-1,6.517556,6.493211,4.608552,4.591449,15.99146,0.2754297,2.578681,23.8953,,NONE
-1,6.517554,6.493209,4.608553,4.591448,15.99146,0.275428,2.575891,23.99477,,NONE
-1,6.517554,6.493208,4.608553,4.591448,15.99146,0.2754227,2.573065,24.09551,,NONE
-1,6.517557,6.49321,4.608552,4.591449,15.99146,0.2754259,2.570272,24.19501,,NONE
-1,6.517555,6.493208,4.608553,4.591448,15.99146,0.2754329,2.567458,24.2953,,NONE
-1,6.517558,6.493208,4.608552,4.591449,15.99146,0.2754318,2.564655,24.39519,,NONE
-1,6.517558,6.493208,4.608552,4.591449,15.99146,0.2754303,2.561842,24.4954,,NONE
-1,6.51756,6.493206,4.608554,4.591447,15.99146,0.2754298,2.55903,24.59564,,NONE
-1,6.517561,6.493205,4.608554,4.591447,15.99146,0.2754327,2.556195,24.69666,,ACCELERATE
-1,6.517561,6.493205,4.608554,4.591447,15.99146,0.2754303,2.553397,24.79634,,ACCELERATE
-1,6.517559,6.493207,4.608552,4.591449,15.99146,0.2754293,2.550618,24.89536,,ACCELERATE
-1,6.51756,6.493204,4.608552,4.591449,15.99146,0.2754305,2.547801,24.99572,,ACCELERATE
-1,6.517562,6.4932,4.608554,4.591447,15.99146,0.275424,2.544963,25.09695,,NONE
-1,6.51756,6.493203,4.608552,4.591449,15.99146,0.2754305,2.542202,25.19533,,NONE
-1,6.517569,6.4932,4.608554,4.591447,15.99146,0.2754323,2.539358,25.29666,,NONE
-1,6.517565,6.493202,4.608553,4.591448,15.99146,0.2754306,2.536571,25.39602,,NONE
-1,6.517565,6.4932,4.608553,4.591448,15.99146,0.2754277,2.533779,25.49559,,NONE
-1,6.517567,6.493201,4.608552,4.591449,15.99146,0.275431,2.530965,25.5958,,NONE
-1,6.517568,6.493201,4.608552,4.591449,15.99146,0.2754265,2.52816,25.69577,,NONE
-1,6.51757,6.493195,4.608554,4.591447,15.99146,0.2754291,2.525383,25.79472,,NONE
-1,6.517568,6.493197,4.608552,4.591449,15.99146,0.275427,2.522561,25.89528,,NONE
-1,6.517567,6.493196,4.608553,4.591448,15.99146,0.2754303,2.519739,25.99577,,NONE
-1,6.51757,6.493196,4.608552,4.591449,15.99146,0.2754315,2.516946,26.09532,,NONE
-1,6.517574,6.493195,4.608553,4.591448,15.99146,0.2754306,2.514153,26.19481,,NONE
-1,6.517574,6.493195,4.608553,4.591448,15.99146,0.2754317,2.511335,26.2952,,NONE
-1,6.51757,6.493196,4.608552,4.591449,15.99146,0.2754253,2.508507,26.39598,,NONE
-1,6.517573,6.493193,4.608554,4.591447,15.99146,0.2754295,2.505689,26.49634,,NONE
-1,6.517571,6.493195,4.608552,4.591449,15.99146,0.2754266,2.502876,26.59659,,NONE
-1,6.517574,6.493193,4.608554,4.591447,15.99146,0.2754294,2.50008,26.69622,,NONE
-1,6.517576,6.49319,4.608553,4.591448,15.99146,0.2754288,2.497272,26.79622,,NONE
-1,6.517571,6.493191,4.608552,4.591449,15.99146,0.2754285,2.494481,26.89565,,NONE
-1,6.517577,6.493189,4.608553,4.591448,15.99146,0.2754282,2.491646,26.99667,,NONE
-1,6.517577,6.493189,4.608553,4.591448,15.99146,0.2754251,2.488868,27.09566,,NONE
-1,6.517575,6.493187,4.608554,4.591447,15.99146,0.2754302,2.486072,27.19527,,NONE
-1,6.517582,6.493188,4.608554,4.591447,15.99146,0.2754279,2.483282,27.2947,,NONE
-1,6.517581,6.493186,4.608554,4.591447,15.99146,0.2754325,2.480458,27.39529,,NONE
-1,6.517578,6.493188,4.608553,4.591448,15.99146,0.2754305,2.477624,27.49628,,NONE
-1,6.517579,6.493188,4.608553,4.591448,15.99146,0.2754318,2.474811,27.59655,,NONE
-1,6.517581,6.493185,4.608552,4.591449,15.99146,0.2754313,2.472031,27.69561,,NONE
-1,6.517581,6.493185,4.608552,4.591449,15.99146,0.2754295,2.469207,27.79627,,NONE
-1,6.517581,6.493184,4.608552,4.591449,15.99146,0.2754299,2.466414,27.89573,,NONE
-1,6.517585,6.493182,4.608554,4.591447,15.99146,0.2754252,2.463615,27.99549,,NONE
-1,6.517585,6.493182,4.608554,4.591447,15.99146,0.275429,2.460812,28.09536,,NONE
-1,6.517585,6.493181,4.608554,4.591447,15.99146,0.2754292,2.458019,28.19486,,NONE
-1,6.517582,6.493184,4.608552,4.591449,15.99146,0.27543,2.455199,28.29529,,NONE
-1,6.517586,6.493181,4.608554,4.591447,15.99146,0.2754286,2.452358,28.39655,,NONE
-1,6.517582,6.493182,4.608552,4.591449,15.99146,0.2754234,2.449546,28.49675,,NONE
-1,6.517588,6.493178,4.608553,4.591448,15.99146,0.2754273,2.446792,28.59487,,NONE
-1,6.517587,6.493176,4.608554,4.591447,15.99146,0.2754294,2.443952,28.69597,,NONE
-1,6.517587,6.493176,4.608554,4.591447,15.99146,0.2754317,2.441153,28.79572,,NONE
-1,6.517584,6.493179,4.608552,4.591449,15.99146,0.275425,2.438336,28.89609,,NONE
-1,6.517587,6.493175,4.608554,4.591447,15.99146,0.2754298,2.43552,28.9964,,NONE
-1,6.517595,6.493176,4.608554,4.591447,15.99146,0.2754293,2.43272,29.09613,,NONE
-1,6.517595,6.493175,4.608554,4.591447,15.99146,0.2754269,2.429931,29.19548,,NONE
-1,6.51759,6.493176,4.608553,4.591448,15.99146,0.2754312,2.427146,29.29472,,NONE
-1,6.517591,6.493176,4.608553,4.591448,15.99146,0.2754291,2.424329,29.39507,,NONE
-1,6.517577,6.493188,4.608543,4.591458,15.99147,0.2754318,2.421499,29.49583,,NONE
-1,6.517564,6.493203,4.608531,4.59147,15.99148,0.2754291,2.418703,29.59547,,NONE
-1,6.517564,6.493203,4.608531,4.59147,15.99148,0.2754304,2.415901,29.69526,,NONE
-1,6.517509,6.493255,4.608494,4.591507,15.99152,0.2754279,2.413106,29.79485,,NONE
-1,6.517433,6.49333,4.60844,4.591561,15.99157,0.2754286,2.410303,29.89475,,NONE
-1,6.517436,6.493331,4.608439,4.591562,15.99157,0.2754332,2.407473,29.99557,,NONE
-1,6.517436,6.49333,4.608439,4.591562,15.99157,0.275431,2.404676,30.09515,,NONE
-1,6.517436,6.49333,4.608439,4.591562,15.99157,0.2754198,2.40187,30.19512,,NONE
-1,6.517437,6.49333,4.608439,4.591562,15.99157,0.275431,2.399024,30.29641,,NONE
-1,6.517438,6.49333,4.608439,4.591562,15.99157,0.275432,2.396228,30.39598,,NONE
-1,6.517438,6.493329,4.608439,4.591562,15.99157,0.2754323,2.393432,30.49556,,NONE
-1,6.517437,6.493325,4.608439,4.591562,15.99157,0.2754319,2.390602,30.59641,,NONE
-1,6.517419,6.493344,4.608426,4.591575,15.99159,0.2754282,2.387811,30.69587,,NONE
-1,6.517403,6.493361,4.608415,4.591587,15.9916,0.2754251,2.385029,30.79504,,NONE
-1,6.517399,6.493366,4.60841,4.591591,15.9916,0.2754203,2.382164,30.8971,,NONE
-1,6.5174,6.493367,4.60841,4.591591,15.9916,0.2754322,2.379396,30.9957,,NONE
-1,6.517405,6.493364,4.608411,4.59159,15.9916,0.2754307,2.376584,31.09589,,NONE
-1,6.5174,6.493365,4.60841,4.591591,15.9916,0.2754303,2.373806,31.19483,,NONE
-1,6.517401,6.493366,4.60841,4.591591,15.9916,0.2754301,2.370994,31.29497,,NONE
-1,6.517403,6.493364,4.608409,4.591592,15.9916,0.2754318,2.368155,31.39611,,NONE
-1,6.517403,6.493362,4.608409,4.591592,15.9916,0.2754316,2.365353,31.49593,,NONE
-1,6.517406,6.49336,4.608411,4.59159,15.9916,0.27543,2.362533,31.59635,,NONE
-1,6.517405,6.493362,4.608409,4.591592,15.9916,0.2754286,2.359738,31.69594,,NONE
-1,6.517405,6.493362,4.608409,4.591592,15.9916,0.2754311,2.356907,31.79674,,NONE
-1,6.517405,6.493361,4.608409,4.591592,15.9916,0.2754319,2.354112,31.89631,,NONE
-1,6.517408,6.493358,4.608411,4.59159,15.9916,0.275431,2.3513,31.99647,,NONE
-1,6.517406,6.493361,4.608409,4.591592,15.9916,0.2754318,2.348528,32.09518,,NONE
-1,6.517409,6.493358,4.608411,4.59159,15.9916,0.2754281,2.345692,32.19623,,NONE
-1,6.517406,6.493361,4.608409,4.591592,15.9916,0.2754311,2.342895,32.29588,,NONE
-1,6.517409,6.493355,4.608411,4.59159,15.9916,0.2754331,2.337145,32.50071,,NONE
-1,6.517411,6.493355,4.60841,4.591591,15.9916,0.2754327,2.336947,32.50778,,NONE
-1,6.517411,6.493355,4.60841,4.591591,15.9916,0.275423,2.334466,32.59622,,NONE
-1,6.517407,6.493356,4.608409,4.591592,15.9916,0.275426,2.33168,32.69547,,NONE
-1,6.517416,6.493352,4.608411,4.59159,15.9916,0.275431,2.328844,32.7965,,NONE
-1,6.517412,6.493353,4.60841,4.591591,15.9916,0.275431,2.326041,32.89637,,NONE
-1,6.517417,6.493352,4.608411,4.59159,15.9916,0.2754304,2.323247,32.99596,,NONE
-1,6.517413,6.493353,4.60841,4.591591,15.9916,0.2754259,2.320434,33.09615,,NONE
